EventId,LangIsoCode,RegionId,EventName,EventDesc,EventActive,EventPredefined,EventRGBColor,EventKeyWords,RecordCreation,RecordSync,RecordUpdate
EXPLOSION,spa,base,"Explosión","Liberación brusca de una gran cantidad de energía (térmica, química o nuclear), acompañada de estruendo y rotura violenta del recipiente que la contiene, produciendo calor, luz y gases. Incluye explosiones relacionadas con errores humanos o fallas en sistemas de infraestructura. En los inventarios (típicos) con DesInventar se excluyen actos de guerra o terrorismo.",1,1,94006B,EXPLOSION;,"2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
FORESTFIRE,spa,base,"Incendio forestal","Incluye todos los incendios en campo abierto en áreas rurales, sobre bosques nativos, bosques cultivados, praderas, etc.",1,1,E6FF00,INCENDIOF;FORESTAL,"2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
HAILSTORM,spa,base,Granizada,"Agua congelada que desciende con violencia de las nubes en granos más o menos duros y gruesos, pero no en copos como la nieve. Palabras claves: granizo.",1,1,00CCCC," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
FROST,spa,base,Helada,"Disminución de la temperatura con efectos nocivos en la población, cultivos, bienes y servicios. Palabras claves: ola de frío, friaje.",1,1,83CAFF," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
HURRICANE,spa,base,"Huracán","Depresión tropical que corresponde a una anomalía atmosférica violenta que gira a modo de torbellino caracterizado por fuentes vientos, acompañados por lluvia. Ocurren en el Mar Caribe y en el Océano Pacífico Tropical. Equivale a los ciclones en el Océano Índico y a los tifones en el Pacífico Occidental. Cuando el término -huracán- se haya usado en las fuentes para vientos huracanados, vendavales locales, torbellinos, borrascas, se reportarán como -vendaval-. Tormentas locales se reportarán como -tempestad-. Palabras claves: depresión tropical, ciclón, tifón.",1,1,4700B8," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
FIRE,spa,base,Incendio,"Incendios urbanos, industriales o rurales, diferentes a incendios forestales. ",1,1,FFFF66," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
FLOOD,spa,base,"Inundación","Anegamiento o cubrimiento con agua de un terreno donde se localizen poblaciones, cultivos, bienes o infraestructura. Inundaciones por olas marinas en zonas litorales se reportarán con el término -marejada-.",1,1,004586,INUNDACION;,"2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
LIQUEFACTION,spa,base,"Licuación","Comportamiento momentáneo como un líquido de suelos granulares saturados de agua, perdiendo su capacidad de soportar pesos. A pesar de ser un fenómeno secundario o inducido por -sismo-, se ha incluido por ser causa de pérdidas y daños en muchas zonas habitadas, en áreas marítimas y continentales. Palabras claves: licuefacción.",1,1,800000," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
COASTLINE,spa,base,"Cambio línea de costa","Variación de la línea costera y/o de las zonas marítimas próximas a la costa. Incluye formación y destrucción de islas, playas y barras de arena, erosión de acantilados, con efectos sobre poblaciones, sobre la navegación, etc. ",1,1,579D1C," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
RAIN,spa,base,Lluvias,"Precipitación pluvial. Incluye lluvias puntuales, persistentes o torrenciales en una región específica, así como períodos largos de precipitaciones. Palabras claves: aguacero, chaparrón, chubasco, diluvio, páramo (llovizna persistente cuando desemboca en desastres, por ejemplo en regiones áridas o semiáridas), turbonada.",1,1,0084D1," ","2007-11-21 00:00:00","2009-08-20 16:50:55","2008-01-01 00:00:00"
