CauseId,LangIsoCode,RegionId,CauseName,CauseDesc,CauseActive,CausePredefined,CauseRGBColor,CauseKeyWords,RecordCreation,RecordSync,RecordUpdate
EARTHQUAKE,spa,base,Sismo,"Sacudidas bruscas del terreno causadas por el movimiento de las placas tectónicas. Como generador de tsunami, deslizamiento, licuación, avenidas torrencial, colapso estructural, incendio, explosión, accidente, cambio en la línea de costa, etc. Palabras claves: terremoto, movimiento telúrico, temblor, terremoto, tremor, seismo.",1,1,9DCC8A,SISMO,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
DEFORESTATION,spa,base,Tala,"Equivalente a deforestación. Como causa de inundaciones, deslizamientos, biológico, etc.",1,1,D4B18A,TALA,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
STORM,spa,base,Tempestad,"Lluvia acompañada de vientos fuertes y/o de descargas eléctricas. Como causa de inundaciones.",1,1,4284F0,TEMPESTAD,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
STRONGWIND,spa,base,Vendaval,"Perturbación atmosférica que genera vientos fuertes y destructivos, generalmente sin lluvia. Como causa de deslizamientos. Palabras claves: temporal, vientos huracanados, torbellinos, borrasca, viento fuerte, ventisca, tromba, ráfaga, racha.",1,1,145830,VENDAVAL,"2007-11-21 00:00:00","2009-08-20 16:50:56","2008-01-01 00:00:00"
5a640417-3a03-4957-9cf0-8868e0c20138,spa,COL-1250694506-colombia_inventario_historico_de_desastres,"Depresión tropical","Depresión tropi",1,0,"","","2009-11-11 18:32:35","2009-11-11 18:32:35",2011-02-01T23:35:30+00:00
c5c4e818-1753-4a01-8b04-e9b30db0ebc8,spa,COL-1250694506-colombia_inventario_historico_de_desastres,"Huracán","Como causa de inundaciones, deslizamientos,avenidas (2)",1,0,"","",2009-11-28T10:48:26+00:00,2009-11-28T10:48:26+00:00,2009-11-29T18:19:41+00:00
cbba92e7-53d4-45d4-aefd-663f41319c31,spa,COL-1250694506-colombia_inventario_historico_de_desastres,Embriaguez,"Como causa para accidente",0,0,"","",2009-11-28T15:25:56+00:00,2009-11-28T15:25:56+00:00,2011-01-14T12:42:34+00:00
38a05b98-c1a8-4774-b8da-61efe4f8f494,spa,COL-1250694506-colombia_inventario_historico_de_desastres,"Accidente de tránsito","Accidente de Transito",1,0,"","",2009-11-28T15:29:26+00:00,2009-11-28T15:29:26+00:00,2011-02-01T23:35:21+00:00
8167e334-cc78-42f5-89de-0a32fd1ea34a,spa,COL-1250694506-colombia_inventario_historico_de_desastres,"Falla mecanica","Falla mecanica",0,0,"","",2009-11-28T15:51:42+00:00,2009-11-28T15:51:42+00:00,2009-11-29T18:19:14+00:00
e95d91ae-edb8-4388-b537-8cb401a80a3b,spa,COL-1250694506-colombia_inventario_historico_de_desastres,"Ola de calor","Es una pruebba.",0,0,"","",2009-11-29T18:20:01+00:00,2009-11-29T18:20:01+00:00,2009-11-29T18:20:07+00:00
