GeoLevelId,LangIsoCode,RegionId,GeoLevelName,GeoLevelDesc,GeoLevelActive,RecordCreation,RecordSync,RecordUpdate
0,spa,,Departamento,"Equivalente a estado..",1,"2009-11-11 18:32:35","2009-11-11 18:32:35","2009-11-11 18:32:35"
1,spa,,Municipio,"Equivalente a ..",1,"2009-11-11 18:32:35","2009-11-11 18:32:35","2009-11-11 18:32:35"
